Year,Time
1975,2:58:00
1976,
1977,2:40:10
1978,2:26:57
1979,2:38:59
1980,1:55:00
1981,2:00:41
1982,1:51:31
1983,1:47:10
1984,2:05:20
1985,1:45:34
1986,1:43:25
1987,1:55:42
1988,1:43:19
1989,1:36:04
1990,1:29:53
1991,1:30:44
1992,1:26:28
1993,1:22:17
1994,1:21:23
1995,1:25:59
1996,1:30:14
1997,1:28:14
1998,1:21:52
1999,1:21:36
2000,1:33:32
2001,1:25:12
2002,1:23:19
2003,1:28:32
2004,1:18:27
2005,1:24:11
2006,1:25:29
2007,1:29:16
2008,1:26:49
2009,1:33:29
2010,1:26:53
2011,1:18:50
2012,1:18:25
2013,1:25:33
2014,1:20:36
2015,1:29:53
2016,1:24:01
2017,1:18:03